52,52,51,62
37,30,112,147
10,10,71,155
12,14,-110,176
20,21,-168,168
26,26,-173,165
45,47,-191,169
55,56,-166,154
56,56,-25,65
61,62,50,56
64,64,154,67
57,57,172,67
58,58,170,20
55,55,187,15
52,52,179,42
54,55,165,77
57,57,155,129
57,57,164,106
57,57,174,68
55,54,173,54
55,55,168,93
55,55,178,103
54,54,179,114
56,56,180,130
55,55,179,119
56,56,180,108
56,56,176,111
55,55,182,106
53,53,178,114
53,53,173,131
53,53,170,152
54,54,176,164
57,57,173,146
57,57,172,96
57,57,175,86
55,55,179,79
53,53,172,89
55,55,172,114
54,54,172,131
55,55,174,144
56,56,175,127
55,56,179,127
55,55,180,109
53,53,172,107
54,54,174,132
53,53,178,141
53,53,172,153
54,54,173,157
58,59,176,142
66,67,182,125
69,69,183,22
71,71,182,-72
71,71,186,-122
64,63,186,-134
59,60,186,-86
55,55,190,-26
53,53,186,46
52,53,175,96
56,57,148,133
60,59,171,114
51,51,170,45
46,46,156,87
49,50,94,125
56,56,51,140
63,64,73,125
67,68,132,0
69,69,159,-48
68,69,164,-94
65,64,164,-91
58,58,170,-25
54,54,159,76
55,55,160,106
56,56,168,134
58,58,162,117
61,61,157,81
63,63,160,66
62,62,166,66
60,60,168,20
58,57,159,8
57,57,162,7
56,55,159,13
55,55,157,67
56,56,153,93
60,60,161,98
59,59,166,55
58,57,166,55
55,54,173,17
52,52,167,65
53,53,139,119
53,53,151,135
55,55,161,149
56,56,169,141
57,58,171,124
63,64,178,74
65,65,180,74
66,66,177,6
68,69,178,-6
72,72,171,-30
75,75,167,-102
71,70,166,-135
67,67,170,-123
63,63,173,-74
66,67,162,-53
74,75,159,-53
79,79,162,-20
80,79,169,-72
79,79,163,-99
78,78,159,-125
76,76,162,-136
74,73,165,-138
71,70,171,-143
67,67,168,-133
66,66,173,-112
67,67,175,-78
72,72,178,-54
73,73,177,-85
72,72,179,-109
69,69,184,-117
64,64,183,-116
70,71,187,-33
74,74,183,-29
76,76,196,-58
74,73,194,-92
69,69,187,-127
59,59,186,-127
63,63,180,-17
68,69,175,12
71,70,181,-16
64,63,172,-99
62,63,174,-72
63,64,169,-17
66,66,169,-4
66,66,171,-4
65,65,166,0
66,66,164,2
66,66,168,2
65,65,169,0
63,64,163,0
62,62,164,0
61,61,166,0
60,60,171,0
60,59,164,0
58,58,167,0
56,56,164,0
55,55,171,6
53,53,165,91
51,50,168,127
58,62,159,157
75,75,134,126
79,80,150,0
81,81,160,-72
81,81,170,-121
80,80,165,-136
73,73,172,-147
66,66,171,-140
61,60,183,-73
61,61,182,-73
62,62,178,-20
65,65,181,-20
66,66,187,-8
68,68,179,-3
72,73,175,-3
76,75,179,-8
74,74,178,-90
72,71,174,-110
68,68,176,-121
65,64,179,-97
63,64,177,-75
66,67,175,-21
69,69,177,-21
70,70,176,-13
68,68,182,-83
65,64,181,-90
64,65,183,-76
65,65,181,-21
67,67,179,-21
69,69,185,-8
68,68,191,-8
67,67,177,-6
67,67,181,-23
66,66,180,-28
64,64,176,-24
64,64,176,-24
64,64,177,-12
63,63,186,-12
64,64,189,-6
63,64,191,-5
62,62,187,-5
62,62,181,-2
63,63,176,-2
63,63,179,-2
62,62,178,-2
62,62,177,0
62,62,176,0
62,62,171,0
62,62,174,0
61,61,175,0
60,60,170,0
58,58,171,0
57,57,171,3
55,55,168,47
44,42,159,87
23,22,91,142
15,14,-59,145
6,6,-126,157
6,6,-168,172
6,6,-165,173
7,7,-169,181
8,8,-184,181
9,9,-185,172
10,11,-184,177
15,16,-191,180
24,26,-183,174
32,33,-189,169
46,47,-162,173
52,51,-82,152
35,34,0,113
20,19,19,133
13,13,-88,143
15,16,-122,151
25,26,-167,162
36,37,-171,161
45,46,-141,163
49,48,-66,164
31,29,27,159
12,11,-18,158
11,11,-98,161
14,15,-123,163
26,27,-162,164
35,36,-179,158
48,49,-161,157
53,53,-76,144
48,47,-59,116
31,30,0,134
22,22,-16,150
23,23,-97,153
32,33,-142,157
45,46,-146,157
45,44,-91,155
38,38,0,157
31,30,-44,157
31,31,-81,157
38,38,-124,163
50,50,-137,170
46,44,0,164
38,38,83,163
34,33,0,165
32,33,-63,169
41,41,-132,169
45,45,-130,167
51,52,-114,168
50,49,-23,154
40,40,96,145
38,38,26,154
38,38,-92,158
45,45,-117,160
50,51,-127,161
52,51,-24,156
48,48,42,129
46,46,68,132
47,47,61,147
52,52,42,153
53,52,60,147
42,42,124,134
41,41,76,148
42,42,0,154
