21,-2,2
21,-88,89
22,-165,126
28,-177,145
33,-189,143
38,-196,151
43,-182,156
47,-128,157
49,-89,164
50,-18,165
53,78,159
55,146,160
55,175,143
55,191,127
55,194,120
54,206,126
53,216,121
51,209,140
50,180,148
50,147,160
50,136,164
50,132,171
51,121,167
51,114,167
52,127,173
51,139,175
52,141,174
52,134,174
50,153,178
51,132,172
51,115,167
51,126,177
51,130,175
52,124,174
53,127,172
53,147,173
52,157,168
51,162,165
51,155,168
51,141,173
51,138,175
51,137,175
51,129,171
51,128,172
51,136,175
51,132,172
51,134,175
51,152,177
51,147,178
51,152,178
50,139,179
49,138,183
47,127,180
45,83,177
45,62,181
49,52,179
52,28,175
54,48,168
56,140,145
58,173,124
57,188,88
54,195,86
53,199,96
51,192,106
51,167,138
50,159,152
50,148,162
51,130,163
52,122,166
52,136,165
52,152,169
51,149,170
52,136,171
52,139,177
51,155,177
50,154,172
51,128,172
51,118,171
50,132,178
50,132,171
51,120,169
53,132,171
53,153,172
53,175,165
54,171,162
54,179,153
53,192,150
51,194,144
50,159,160
49,152,167
48,133,174
48,110,172
49,82,171
49,79,169
49,93,169
49,87,171
50,91,166
51,106,168
52,114,170
51,133,167
49,138,165
48,126,169
48,109,169
47,78,171
48,74,168
50,62,169
52,64,171
54,116,166
54,158,154
54,173,159
53,181,155
51,169,165
49,162,167
48,137,166
48,108,172
48,82,172
49,68,167
49,67,165
49,80,166
50,94,162
49,104,158
48,90,161
48,89,159
47,62,155
47,47,158
47,35,157
47,30,161
48,26,159
48,40,159
48,38,157
48,40,160
47,53,163
47,51,158
47,47,164
47,39,164
47,37,167
48,37,164
48,35,170
49,42,167
49,53,168
50,69,164
50,82,164
50,90,166
50,105,165
49,109,169
48,105,167
46,85,165
46,63,165
46,51,161
46,35,161
47,27,157
48,20,160
49,20,156
49,17,158
49,53,156
49,70,157
49,80,157
49,82,163
49,82,159
49,84,161
49,84,161
48,79,164
47,59,165
48,53,165
49,52,162
49,59,160
49,73,160
49,86,159
48,82,157
48,81,157
46,72,161
43,51,160
42,51,164
41,0,159
40,-48,160
39,-80,159
39,-83,160
42,-93,164
45,-86,162
45,-68,166
45,-68,161
44,-14,160
44,-14,161
44,-4,166
44,0,163
44,0,157
44,2,163
44,2,163
44,0,163
44,0,160
44,0,161
44,0,162
45,0,160
45,0,159
46,0,161
46,0,158
46,3,160
46,3,164
46,8,155
46,14,151
45,12,156
44,24,160
43,13,164
42,0,158
42,-13,158
41,-24,154
42,-28,163
43,-36,154
43,-34,154
43,-15,154
43,-15,154
43,-15,161
44,-7,160
44,-2,159
45,-2,153
45,0,158
45,0,161
45,0,165
46,0,163
46,2,165
46,2,168
46,2,164
47,2,166
47,8,166
47,43,164
47,43,164
48,48,161
48,59,165
49,74,162
47,81,161
46,69,158
45,55,160
45,37,156
46,37,158
46,37,161
46,15,159
46,7,163
47,7,160
48,2,159
49,2,160
49,14,158
49,63,161
48,76,157
45,79,161
44,63,162
42,53,165
42,0,164
43,0,162
43,-9,160
43,-18,158
43,-19,162
43,-26,162
44,-24,162
44,-11,157
43,-11,158
43,-4,156
42,-4,156
42,0,158
42,0,156
41,0,159
41,-24,157
42,-55,162
45,-55,159
46,-17,162
48,0,162
51,33,158
53,87,159
53,163,161
49,170,158
45,143,160
35,97,160
29,0,164
25,-110,165
23,-166,162
27,-174,157
36,-179,162
44,-168,164
47,-127,159
43,-28,152
38,-28,159
36,-14,160
39,-110,156
44,-118,161
44,-69,160
44,-53,160
42,-31,158
42,-31,161
42,-14,162
42,-14,156
42,-6,158
43,-6,156
44,2,161
45,2,158
46,2,160
47,2,159
48,2,160
50,7,160
51,71,157
52,92,159
52,133,158
48,157,158
47,122,160
46,97,165
42,71,166
36,19,170
32,-44,167
25,-138,165
20,-176,168
26,-179,166
31,-182,168
38,-189,167
42,-166,164
43,-118,163
39,-60,165
38,-46,164
38,-84,159
40,-99,163
43,-101,166
43,-66,167
42,-49,165
42,-32,161
40,-12,160
38,-10,163
40,-43,164
41,-71,164
41,-64,159
42,-53,165
42,-36,164
42,-36,168
42,-26,163
42,-21,163
42,-16,162
43,-17,161
42,-18,167
42,-12,163
42,-12,164
40,-7,159
40,-8,158
41,-47,159
42,-61,157
42,-51,161
42,-41,158
42,-17,162
42,-17,167
42,-8,162
42,-8,166
42,-3,162
41,-3,160
40,0,163
40,-2,163
41,-13,164
42,-52,164
42,-50,162
44,-36,162
44,-36,159
44,-12,162
44,-12,163
45,-4,166
44,-4,161
44,0,161
42,0,164
40,2,160
37,-2,160
35,-39,156
34,-98,159
35,-144,157
39,-165,160
42,-152,157
41,-119,164
38,-66,165
33,-71,160
31,-108,157
34,-152,160
39,-177,169
46,-175,162
46,-135,159
43,-28,159
39,-28,166
37,-11,162
38,-75,160
