0,0,81,8,-3
0,0,81,107,-52
0,0,81,171,-93
0,0,79,190,-110
0,0,78,202,-127
0,0,76,210,-138
0,0,73,222,-147
0,0,68,230,-149
0,0,61,228,-146
0,0,49,225,-119
0,0,35,183,51
0,0,24,125,100
0,0,22,0,142
0,0,19,-69,146
0,0,16,-161,145
0,0,18,-183,142
0,0,19,-180,146
0,0,26,-191,157
0,0,35,-197,162
0,0,42,-202,152
0,0,47,-197,153
0,0,50,-150,160
0,0,44,0,162
0,0,31,16,153
0,0,25,-91,156
0,0,27,-119,162
0,0,33,-155,165
0,0,41,-179,168
0,0,45,-186,166
0,0,48,-126,166
0,0,47,-62,174
0,0,45,-39,170
0,0,41,-39,167
0,0,38,-25,170
0,0,40,-50,168
0,0,43,-125,171
0,0,46,-110,173
0,0,45,-75,167
0,0,43,-43,167
0,0,40,-31,162
0,0,40,-72,165
0,0,44,-115,165
0,0,47,-116,165
0,0,48,-72,168
0,0,46,-72,167
0,0,42,-16,168
0,0,43,-11,161
0,0,44,-43,163
0,0,46,-54,165
0,0,46,-46,165
0,0,44,-46,163
0,0,42,-17,159
0,0,40,-13,161
0,0,43,-77,164
0,0,46,-95,164
0,0,47,-69,158
0,0,47,-69,155
0,0,46,-6,157
0,0,45,-6,163
0,0,45,0,166
0,0,45,0,169
0,0,45,0,163
0,0,46,-12,162
0,0,45,-12,158
0,0,46,-12,163
0,0,48,-12,166
0,0,47,-4,164
0,0,49,-4,166
0,0,48,4,163
0,0,48,48,165
0,0,49,35,166
0,0,50,36,163
0,0,50,54,168
0,0,51,83,170
0,0,49,98,174
0,0,47,92,171
0,0,45,60,163
0,0,45,47,166
0,0,47,18,168
0,0,48,0,167
0,0,48,0,161
0,0,49,0,161
0,0,49,0,167
0,0,49,16,167
0,0,50,43,165
0,0,51,50,161
0,0,50,68,162
0,0,51,97,161
0,0,51,90,162
0,0,49,95,159
0,0,47,96,159
0,0,47,62,163
0,0,48,50,160
0,0,50,50,163
0,0,50,18,161
0,0,51,61,155
0,0,51,95,155
0,0,50,103,156
0,0,49,110,162
0,0,49,81,160
0,0,49,71,155
0,0,50,69,160
0,0,50,62,158
0,0,50,75,157
0,0,50,78,157
0,0,51,81,160
0,0,51,84,161
0,0,50,98,162
0,0,47,88,164
0,0,46,78,167
0,0,44,58,171
0,0,44,16,167
